product,grape,score,avg_price_liter
"Vega  Sicilia Unico Gran Reserva, Ribera del Duero",  Tempranillo  ,95,622.67
"Bodegas Zugober Belezos 50/50, Rioja  DOCa",  Rioja Red Blend  ,88,74.67
"R. Lopez de  Heredia Vina Tondonia Reserva, Rioja DOCa",  Rioja Red Blend  ,93,346.67
"La Rioja Alta S.A. Gran  Reserva 904, Rioja DOCa",  Rioja Red Blend  ,93,536.0
"Marques  de Murrieta Castillo Ygay Gran Reserva Especial, Rioja DOCa",  Rioja Red Blend  ,93,93.33
"Vega  Sicilia Tinto Valbuena 5, Ribera del Duero",  Tempranillo  ,94,1245.33
"La Rioja Alta S.A. Vina  Ardanza Reserva, Rioja DOCa",  Garnacha - Tempranillo  ,92,246.67
"Dominio de Pingus  'Pingus', Ribera del Duero",  Tempranillo  ,97,241.33
"Vega Sicilia Alion,  Ribera del Duero",  Tempranillo  ,92,684.0
"Marques de Riscal Reserva,  Rioja DOCa",  Rioja Red Blend  ,90,132.0
"Vega Sicilia 'Pintia',  Toro",  Tinta de Toro  ,92,494.67
"Bodegas Muga 'Prado Enea'  Gran Reserva, Rioja DOCa",  Rioja Red Blend  ,93,577.33
"Dominio de Pingus  'Flor de Pingus', Ribera del Duero",  Tempranillo  ,93,741.33
"Bodegas Faustino I Gran  Reserva, Rioja DOCa",  Rioja Red Blend  ,90,222.67
"R.  Lopez de Heredia Vina Tondonia Reserva Blanco, Rioja DOCa",  Rioja White Blend  ,94,849.33
"CVNE 'Imperial' Gran  Reserva, Rioja DOCa",  Tempranillo  ,92,528.0
"La Rioja Alta S.A. Gran  Reserva 890, Rioja DOCa",  Tempranillo  ,93,1269.33
"R. Lopez  de Heredia Vina Tondonia Gran Reserva, Rioja DOCa",  Rioja Red Blend  ,92,710.67
"Marques de Murrieta  Reserva, Rioja DOCa",  Rioja Red Blend  ,91,181.33
"Dominio de Pingus  'PSI', Ribera del Duero",  Tempranillo  ,91,238.67
"Clos Mogador Vi de  Finca, Priorat DOCa",  Red Blend  ,94,650.67
"Bodegas Aalto, Ribera del Duero,",  Tinto Fino  ,92,354.67
"Alvaro  Palacios L'Ermita Velles Vinyes, Priorat DOCa",  Grenache (Garnacha)  ,97,981.33
"Bodegas Muga Reserva - Crianza,  Rioja DOCa",  Rioja Red Blend  ,91,189.33
"R.  Lopez de Heredia Vina Tondonia Gran Reserva Rosado, Rioja DOCa",  Rioja Red Blend  ,91,849.33
"Vega  Sicilia Unico Reserva Especial, Ribera del Duero",  Cabernet - Tempranillo  ,95.0,597.33
"Torres Mas La Plana  Cabernet Sauvignon, Penedes",  Cabernet Sauvignon  ,92.0,510.67
"Bodegas  Aalto P.S. Pagos Seleccionados Tinto, Ribera del Duero",  Tempranillo  ,93.0,758.67
"Bodegas El Nido 'Clio', Jumilla,",  Mourvedre (Monastrell)  ,92.0,321.33
"Bodegas Muga Seleccion Especial  Reserva, Rioja DOCa",  Rioja Red Blend  ,92.0,288.0
"Bodegas Contador - Benjamin  Romeo 'Contador', Rioja DOCa",  Tempranillo  ,96.0,546.67
"Clos i Terrasses  Clos Erasmus, Priorat DOCa",  Grenache (Garnacha)  ,96.0,661.33
"Marques de Riscal  Gran Reserva, Rioja DOCa",  Rioja Red Blend  ,92.0,297.33
"R.  Lopez de Heredia Vina Tondonia 'Vina Gravonia' Crianza Blanco, Rioja DOCa",  Macabeo (Viura)  ,92.0,329.33
"Bodegas Roda 'Roda I' Reserva, Rioja  DOCa",  Tempranillo  ,92.0,404.0
"Artadi Vina El Pison, Alava",  Tempranillo  ,96.0,678.67
"CVNE Vina Real Gran  Reserva, Rioja DOCa",  Rioja Red Blend  ,91.0,272.0
"Bodega Numanthia, Toro",  Tinta de Toro  ,92.0,362.67
"Bodegas Muga Torre Muga, Rioja DOCa,",  Rioja Red Blend  ,93.0,660.0
Macan  Rioja DOCa,  Tempranillo  ,93.0,577.33
Comando  G 'Rumbo al Norte' Navarrevisca Vino de la Tierra de Castilla y Leon,  Grenache (Garnacha)  ,95.0,422.67
"La Rioja Alta S.A. Vina  Arana Gran Reserva, Rioja DOCa",  Tempranillo  ,91.0,264.0
"Alvaro Palacios  Finca Dofi, Priorat DOCa",  Cabernet - Grenache - Merlot - Syrah  ,94.0,569.33
"Bodega Lanzaga 'Las Beatas', Rioja  DOCa",  Red Blend  ,96.0,876.0
"Granja  Nuestra Senora de Remelluri 'Remelluri' Reserva, Rioja DOCa",  Rioja Red Blend  ,92.0,246.67
"R.  Lopez de Heredia Vina Tondonia 'Vina Bosconia' Reserva, Rioja DOCa",  Rioja Red Blend  ,92.0,238.67
"Diez Merito  Bertola Cream Sherry, Andalucia",  Sherry Blend  ,88.0,82.67
"Bodegas Alto Moncayo  Garnacha, Campo de Borja",  Grenache (Garnacha)  ,92.0,305.33
"Tinto Pesquera  Crianza, Ribera del Duero",  Tempranillo  ,89.0,189.33
"Diez Merito  Pemartin Medium Dry Sherry, Andalucia",  Sherry Blend  ,,49.33
"Bodegas  Toro Albala Don PX Convento Seleccion, Montilla-Moriles",  Pedro Ximenez  ,96.0,537.33
"La Rioja Alta S.A. Vina  Alberdi Reserva, Rioja DOCa",  Tempranillo  ,90.0,156.0
"R.  Lopez de Heredia Vina Tondonia Gran Reserva Blanco, Rioja DOCa",  Macabeo (Viura)  ,93.0,705.33
Jodhpur London Dry Gin,  Gin  ,,181.33
"Tinto Pesquera  Reserva, Ribera del Duero",  Tempranillo  ,90.0,329.33
"CVNE 'Imperial' Reserva,  Rioja DOCa",  Rioja Red Blend  ,91.0,256.0
"Pago de  Carraovejas, Ribera del Duero",  Tempranillo  ,91.0,264.0
"Remirez de Ganuza Reserva,  Rioja DOCa",  Tempranillo  ,92.0,536.0
"Beronia Reserva, Rioja DOCa",  Rioja Red Blend  ,89.0,132.0
"CVNE Vinedos del  Contino 'Contino' Reserva, Rioja DOCa",  Rioja Red Blend  ,91.0,222.67
"Dominio del Aguila  Reserva, Ribera del Duero",  Red Blend  ,94.0,494.67
"Marques de Caceres  Crianza, Rioja DOCa",  Tempranillo  ,88.0,90.67
"Dominio  del Aguila Vinas Viejas Albillo, Ribera del Duero",  Albillo  ,95.0,741.33
"Marques de Murrieta Gran  Reserva, Rioja DOCa",  Rioja Red Blend  ,92.0,420.0
"Torres Gran  Coronas Cabernet Sauvignon Reserva, Penedes",  Cabernet Sauvignon  ,88.0,124.0
